accession	group	profile	fragpipe_ver	msfragger_ver	fp_workflow_sha256	fp_conforms	sage_ver	sage_config_sha256	sage_conforms	git_commit	working_tree_dirty	run_config_sha256	config_matches_current	job_id	started_utc
PXD012981	(single)	(none)	24.0	4.4	e58d971d3a0631ea	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	e5693a47734f	True	9dc76f645a8767e0	False	260721	2026-05-19T10:03:08Z
PXD016870	(single)	(none)	24.0	4.4	79a3a5abef7c50ea	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	9dc76f645a8767e0	False	261166	2026-05-20T22:51:21Z
PXD019086	(single)	(none)	24.0	4.4	cb87b47e392f0a9d	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	9dc76f645a8767e0	False	261683	2026-05-20T21:08:00Z
PXD020861	(single)	phospho					sage 0.15.0-beta.2	0011426e4c16e2b9	True	5cd0f62adc48	True	f49a191fc2a7da62	False	262711	2026-05-22T10:08:57Z
PXD021789	(single)	phospho	24.0	4.4	87f742524afb7c70	False	sage 0.15.0-beta.2	0011426e4c16e2b9	True	e5693a47734f	True	9dc76f645a8767e0	False	260793	2026-05-19T11:39:11Z
PXD026463	mouse_trypsin	hla	24.0	4.4	010191f1364817b3	True	sage 0.15.0-beta.2	d9f1a06c81aff6e7	True	cfa0d6df250f	True	95ff8fb1b31b1405	False	271275	2026-05-28T07:06:00Z
PXD026533	mouse_trypsin	ubiquitin	24.0	4.4	f21b4560c05aba46	False	sage 0.15.0-beta.2	0aa8e3d3580f9134	True	cfa0d6df250f	True	95ff8fb1b31b1405	False	270776	2026-05-27T23:29:47Z
PXD029648	human_trypsin	hla	24.0	4.4	5bf8433788b39459	True	sage 0.15.0-beta.2	d9f1a06c81aff6e7	True	cfa0d6df250f	True	95ff8fb1b31b1405	False	271436	2026-05-28T12:07:25Z
PXD029698	mouse_trypsin	acyl_crotonyl	24.0	4.4	a8ba891919d50aeb	False		f83e8d3d9ea8c6b4	True	cfa0d6df250f	True	fe8419a526e36356	False	325737	2026-06-14T17:35:04Z
PXD031371	(single)	ubiq	24.0	4.4	fd318f82510e2f89	False	sage 0.15.0-beta.2	e6e5d7de753fe851	True	5cd0f62adc48	True	9dc76f645a8767e0	False	261142	2026-05-19T20:38:28Z
PXD031993	(single)	(none)	24.0	4.4	e135118ec69f05fa	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	9dc76f645a8767e0	False	261165	2026-05-20T00:55:12Z
PXD032159	(single)	(none)	24.0	4.4	6c61aeb1bd5c3cb1	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	9dc76f645a8767e0	False	261648	2026-05-20T18:01:35Z
PXD033508	(single)	(none)	24.0	4.4	4bcc997a52f9cd20	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	9dc76f645a8767e0	False	261691	2026-05-21T00:55:10Z
PXD035301	human_trypsin	phospho	24.0	4.4	8d09dce0dad970e1	False	sage 0.15.0-beta.2	0011426e4c16e2b9	True	cfa0d6df250f	True	2ddc6abfdca46f5a	False	270262	2026-05-27T11:06:16Z
PXD035977	(single)	(none)	24.0	4.4	9ffe4a4a8acc762d	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	9dc76f645a8767e0	False	262508	2026-05-21T20:14:17Z
PXD037501	(single)	phospho	24.0	4.4	594dd6b53c317152	False	sage 0.15.0-beta.2	0011426e4c16e2b9	True	5cd0f62adc48	True	9dc76f645a8767e0	False	262539	2026-05-22T02:47:41Z
PXD037861	(single)	(none)	24.0	4.4	b091b337ba71b464	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	9dc76f645a8767e0	False	262540	2026-05-22T03:13:36Z
PXD037909	(single)	(none)	24.0	4.4	4aa26a939ec74013	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	709a5b18400fd3f6	False	265051	2026-05-26T08:54:55Z
PXD038273	human_trypsin	hla	24.0	4.4	a23fa0b5d2222a64	True	sage 0.15.0-beta.2	d9f1a06c81aff6e7	True	cfa0d6df250f	True	95ff8fb1b31b1405	False	271411	2026-05-28T10:52:13Z
PXD038916	(single)	(none)	24.0	4.4	03b1062042df6060	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	709a5b18400fd3f6	False	265052	2026-05-26T08:54:47Z
PXD039627	(single)	(none)	24.0	4.4	b6ce61a599a880ce	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	9dc76f645a8767e0	False	262595	2026-05-22T08:30:13Z
PXD039787	(single)	(none)	24.0	4.4	ee18ace78ff2d11e	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	f49a191fc2a7da62	False	262723	2026-05-22T10:56:56Z
PXD040514	mouse_trypsin	acyl_lactyl	24.0	4.4	717d3bd2a551598d	False	sage 0.15.0-beta.2	31da1b051e038c19	True	cfa0d6df250f	True	6eda36046538b1d6	True	473554	2026-07-23T08:46:21Z
PXD040716	(single)	(none)	24.0	4.4	747d7833845ed8e6	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	f49a191fc2a7da62	False	263162	2026-05-22T11:36:48Z
PXD040718	(single)	(none)	24.0	4.4	1365f10a76c53481	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	f49a191fc2a7da62	False	263641	2026-05-22T13:02:38Z
PXD040813	(single)	(none)	24.0	4.4	19ed589e72f729de	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	f49a191fc2a7da62	False	263711	2026-05-22T14:50:28Z
PXD041154	(single)	(none)	24.0	4.4	0039bd7ee6652ffd	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	f49a191fc2a7da62	False	263731	2026-05-22T15:13:29Z
PXD042023	(single)	(none)	24.0	4.4	a8a3e297979487c0	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	f49a191fc2a7da62	False	263732	2026-05-22T15:13:40Z
PXD042171	mouse_trypsin	acyl_lactyl	24.0	4.4	fadd83fd7142eba5	False	sage 0.15.0-beta.2	31da1b051e038c19	True	cfa0d6df250f	True	6eda36046538b1d6	True	473555	2026-07-23T08:46:47Z
PXD042316	human_trypsin	hla	24.0	4.4	78defd195c4f7dc4	True	sage 0.15.0-beta.2	d9f1a06c81aff6e7	True	cfa0d6df250f	True	2671f39d7edb3cdc	False	270808	2026-05-27T17:51:14Z
PXD042416	Kmod_Acetyl	multi_ptm	24.0	4.4	c9634969c608ef5c	False		b5abda04273c31d2	False	cfa0d6df250f	True	97b1833da35cdd10	False	279463	2026-05-29T08:58:48Z
PXD042416	Kmod_Biotin	multi_ptm	24.0	4.4	2550af25f7f098ab	False		058f63e5cc7340ea	False	cfa0d6df250f	True	97b1833da35cdd10	False	279463	2026-05-29T08:58:48Z
PXD042416	Kmod_Butyryl	multi_ptm	24.0	4.4	4165dfefaa7a3d22	False		937d7aac0d504c04	False	cfa0d6df250f	True	97b1833da35cdd10	False	279463	2026-05-29T08:58:48Z
PXD042416	Kmod_Crotonyl	multi_ptm	24.0	4.4	c755c03187eed9e0	False		0ec804d0e80a4e28	False	cfa0d6df250f	True	97b1833da35cdd10	False	279463	2026-05-29T08:58:48Z
PXD042416	Kmod_Dimethyl	multi_ptm	24.0	4.4	a21f1de1b339b77f	False		1b644b980f926cdf	False	cfa0d6df250f	True	97b1833da35cdd10	False	279463	2026-05-29T08:58:48Z
PXD042416	Kmod_Formyl	multi_ptm	24.0	4.4	fff216e3ec3af0c6	False		8b98b46528a1886a	False	cfa0d6df250f	True	97b1833da35cdd10	False	279463	2026-05-29T08:58:48Z
PXD042416	Kmod_Glutaryl	multi_ptm	24.0	4.4	f1ed2ad3c3225129	False		bb4ffb90b226feea	False	cfa0d6df250f	True	97b1833da35cdd10	False	279463	2026-05-29T08:58:48Z
PXD042416	Kmod_Hydroxyisobut	multi_ptm	24.0	4.4	7feb146ec8fb174b	False		a4e0da2164258221	False	cfa0d6df250f	True	97b1833da35cdd10	False	279463	2026-05-29T08:58:48Z
PXD042416	Kmod_Malonyl	multi_ptm	24.0	4.4	0cdf492291319d0d	False		2261386e9fed001e	False	cfa0d6df250f	True	97b1833da35cdd10	False	279463	2026-05-29T08:58:48Z
PXD042416	Kmod_Methyl	multi_ptm	24.0	4.4	e6afb32c17782785	False		01b8f935bd95cc8c	False	cfa0d6df250f	True	97b1833da35cdd10	False	279463	2026-05-29T08:58:48Z
PXD042416	Kmod_Propionyl	multi_ptm	24.0	4.4	65efea0a56e263e0	False		9d6aded35d73673c	False	cfa0d6df250f	True	97b1833da35cdd10	False	279463	2026-05-29T08:58:48Z
PXD042416	Kmod_Succinyl	multi_ptm	24.0	4.4	cf4e59f65ff84158	False		bd2e4cd3b63e1af7	False	cfa0d6df250f	True	97b1833da35cdd10	False	279463	2026-05-29T08:58:48Z
