priority_rank	accession	title	instrument_model	is_pure_timstof	acquisition_mode	acq_confidence	acq_source	organisms	organism_keys	lab	submitter	tissue	publication_date	has_bruker_files	n_bruker_files	bruker_size_gb	warnings
1	PXD073446	Proteomic Insights into Rice Protein Palmitoylation and Its Role in Cytosolic Translation	timsTOF	TRUE	DDA	0.6	software_inference:maxquant	Oryza sativa (rice)	oryza_sativa_(rice)	for Conservation and Utilization of Subtropical Agro-bioresources, College of Agriculture, Guangxi University, Nanning 530004, China	Qiutao Xu	leaf	2026-02-11				
2	PXD073076	Doublet Microtubule-Associated Tektins and Enzymes Differentially Regulate Sperm Flagellar Integrity and Motility	timsTOF HT	FALSE	PASEF	0.9	protocol_text	Mus musculus (mouse)	mouse	Liangzhu Lab, Zhejiang University	Miao Gui	spermatozoon	2026-01-15				mixed_instruments
3	PXD072749	Functional characterisation of components in two Plasmodium falciparum Cullin-RING-Ligase complexes	timsTOF Pro	FALSE	diaPASEF	0.95	protocol_text	Plasmodium falciparum (isolate 3d7)	plasmodium_falciparum_(isolate	The Walter and Eliza Hall institute of Medical Research, Department of Medical Biology, Faculty of Medicine, Dentistry and Health Sciences, The University of Melbourne	Alan Cowman	erythrocyte	2026-01-09				mixed_instruments
4	PXD070239	Application of VHH-immobilized cryogel-based immunoaffinity chromatography for isolation of extracellular vesicles from human plasma	timsTOF fleX	TRUE	DIA	0.85	protocol_text	"Homo sapiens (human); Escherichia coli"	"human; ecoli"	Proteomics Core Facility, School of Science, National and Kapodistrian University of Athens, Athens, Greece	Guillaume Médard	blood plasma	2025-12-08				multi_organism
5	PXD071478	Proteomic Analysis of Lysine Crotonylation (Kcr) in Reynoutria japonica Seedlings	timsTOF Pro 2	TRUE	PASEF	0.9	protocol_text	Reynoutria japonica	reynoutria_japonica	Hubei University of Medicine	Lei You	plant cell	2025-12-03				
6	PXD066053	The Aged Neuronal Aggregome Identified by BONCAT	timsTOF Ultra	TRUE	unknown	0.0	none	Mus musculus (mouse)	mouse	Department of Neurology and Neurological Sciences, Stanford University, Stanford, CA, USA	Tony Wyss-Coray	brain	2025-11-07				unknown_acquisition_mode
7	PXD064049	Extrachromosomal DNA-driven oncogene dosage heterogeneity promotes rapid adaptation to therapy in MYCN-amplified cancers	timsTOF SCP	TRUE	single-cell	0.9	protocol_text	Homo sapiens (human)	human	Max Delbrück Center  Robert-Rössle-Straße 10 13125 Berlin, Germany	Dr. Fabian Coscia	neuroblastoma cell line	2025-07-05				
8	PXD054488	Heterogeneity Assessment and Protein Pathway Prediction via Spatial Lipidomic and Proteomic Correlation: Advancing Dry Proteomics concept for Human Glioblastoma Prognosis	timsTOF fleX	TRUE	MALDI	0.95	protocol_text	Rattus norvegicus (rat)	rat	PRISM laboratory - Inserm U1192	Salzet Michel	brain	2025-05-07				
9	PXD072314	"Additional files for Project PXD047856 ""Exploring the extracellular landscape of cyanobacteria with deep exoproteomics"""	timsTOF	TRUE	diaPASEF	0.95	protocol_text	"Nostoc punctiforme (strain atcc 29133 / pcc 73102); Synechocystis sp. pcc 6803; Picosynechococcus sp. pcc 11901"	"nostoc_punctiforme_(strain_atc; synechocystis_sp._pcc_6803; picosynechococcus_sp._pcc_1190"	Friedrich Schiller University Jena	David A. Russo	cell culture	2026-01-05				multi_organism
10	PXD069059	Proteomic and morphologic characterization of ovine macrophage differentiation and polarization – cell lysates	timsTOF Pro	TRUE	DDA	0.85	protocol_text	Ovis aries	ovis_aries	University of Vienna, Faculty of Chemistry, Department of Analytical Chemistry	Christopher Gerner	monocyte	2026-01-12				
